hostname,ou,os,software,version
WKS-FIN-001,OU=Financeiro,Windows 10 22H2,Google Chrome,110.0.5481.104
WKS-FIN-001,OU=Financeiro,Windows 10 22H2,7-Zip,19.00
WKS-FIN-001,OU=Financeiro,Windows 10 22H2,Adobe Acrobat Reader DC,21.007.20099
WKS-FIN-002,OU=Financeiro,Windows 10 22H2,Google Chrome,124.0.6367.91
WKS-FIN-002,OU=Financeiro,Windows 10 22H2,Mozilla Firefox,102.0
WKS-FIN-002,OU=Financeiro,Windows 10 22H2,Java 8 Update 181,8.0.1810.13
WKS-RH-001,OU=RH,Windows 11 23H2,Google Chrome,124.0.6367.91
WKS-RH-001,OU=RH,Windows 11 23H2,Zoom,5.13.5
WKS-RH-001,OU=RH,Windows 11 23H2,Microsoft Office 2019,16.0.10730.20102
WKS-RH-002,OU=RH,Windows 10 22H2,7-Zip,21.07
WKS-RH-002,OU=RH,Windows 10 22H2,VLC Media Player,3.0.16
WKS-TI-001,OU=TI,Windows 11 23H2,PuTTY,0.74
WKS-TI-001,OU=TI,Windows 11 23H2,WinRAR,5.70
WKS-TI-001,OU=TI,Windows 11 23H2,Python,3.9.0
WKS-TI-002,OU=TI,Windows 11 23H2,Git,2.39.1
WKS-TI-002,OU=TI,Windows 11 23H2,Notepad++,8.5.6
SRV-WEB-001,OU=Servidores,Windows Server 2019,Apache HTTP Server,2.4.49
SRV-WEB-001,OU=Servidores,Windows Server 2019,OpenSSL,1.1.1k
SRV-DB-001,OU=Servidores,Windows Server 2016,Microsoft SQL Server 2016,13.0.1601.5
SRV-FILE-001,OU=Servidores,Windows Server 2019,7-Zip,16.02
SRV-FILE-001,OU=Servidores,Windows Server 2019,Adobe Acrobat Reader DC,20.001.30020
WKS-VEN-001,OU=Vendas,Windows 10 21H2,Google Chrome,90.0.4430.212
WKS-VEN-001,OU=Vendas,Windows 10 21H2,Adobe Flash Player,32.0.0.465
WKS-VEN-002,OU=Vendas,Windows 10 22H2,Mozilla Firefox,115.0
WKS-VEN-002,OU=Vendas,Windows 10 22H2,Microsoft Office 2016,16.0.4266.1001
WKS-DEV-001,OU=Desenvolvimento,Windows 11 23H2,Node.js,18.16.0
WKS-DEV-001,OU=Desenvolvimento,Windows 11 23H2,Docker Desktop,4.18.0
WKS-DEV-002,OU=Desenvolvimento,Windows 11 23H2,Python,3.11.4
WKS-DEV-002,OU=Desenvolvimento,Windows 11 23H2,Visual Studio Code,1.78.0
